2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,62
2007-05,0
2007-06,0
2007-07,0
2007-08,52
2007-09,50
2007-10,0
2007-11,0
2007-12,0
2008-01,42
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,32
2008-11,0
2008-12,0
2009-01,0
2009-02,33
2009-03,0
2009-04,30
2009-05,28
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,25
2009-11,25
2009-12,0
2010-01,0
2010-02,24
2010-03,0
2010-04,0
2010-05,34
2010-06,23
2010-07,21
2010-08,21
2010-09,20
2010-10,19
2010-11,38
2010-12,0
2011-01,35
2011-02,18
2011-03,0
2011-04,17
2011-05,16
2011-06,17
2011-07,33
2011-08,31
2011-09,15
2011-10,29
2011-11,14
2011-12,0
2012-01,27
2012-02,41
2012-03,0
2012-04,20
2012-05,25
2012-06,0
2012-07,19
2012-08,26
2012-09,32
2012-10,69
2012-11,35
2012-12,12
2013-01,21
2013-02,23
2013-03,15
2013-04,31
2013-05,20
2013-06,11
2013-07,10
2013-08,15
2013-09,10
2013-10,14
2013-11,19
2013-12,20
2014-01,23
2014-02,35
2014-03,9
2014-04,14
2014-05,19
2014-06,0
2014-07,10
2014-08,10
2014-09,19
2014-10,55
2014-11,9
2014-12,14
2015-01,9
2015-02,24
2015-03,13
2015-04,22
2015-05,22
2015-06,13
2015-07,9
2015-08,8
2015-09,17
2015-10,51
2015-11,28
2015-12,12
2016-01,21
2016-02,43
2016-03,32
2016-04,46
2016-05,37
2016-06,30
2016-07,35
2016-08,13
2016-09,22
2016-10,54
2016-11,37
2016-12,28
2017-01,58
2017-02,33
2017-03,37
2017-04,47
2017-05,35
2017-06,46
2017-07,24
2017-08,31
2017-09,40
2017-10,34
2017-11,50
2017-12,46
2018-01,22
2018-02,27
2018-03,39
2018-04,48
2018-05,47
2018-06,45
2018-07,36
2018-08,36
2018-09,40
2018-10,49
2018-11,40
2018-12,26
2019-01,49
2019-02,53
2019-03,66
2019-04,44
2019-05,55
2019-06,39
2019-07,32
2019-08,31
2019-09,58
2019-10,49
2019-11,100
2019-12,40
2020-01,57
2020-02,75
2020-03,31
2020-04,89
2020-05,59
2020-06,70
